,Manufacturer,Model,Trans,Eng Size,Cyl,MPG Comb,MPG City,MPG Hwy,Annual Fuel Cost,GHG Rating,Notes,Year
48,PORSCHE,718 Boxster T,AM-S7,2.0L,4cyl,23,21,27,"$2,650",5,"['PR', 'T', 'SS']",2023
49,PORSCHE,718 Boxster T,M-6,2.0L,4cyl,22,20,26,"$2,800",5,"['PR', 'T', 'SS']",2023
50,PORSCHE,718 Cayman,AM-S7,2.0L,4cyl,24,21,27,"$2,550",5,"['PR', 'T', 'SS']",2023
51,PORSCHE,718 Cayman,M-6,2.0L,4cyl,22,20,25,"$2,800",5,"['PR', 'T', 'SS']",2023
52,PORSCHE,718 Cayman GT4,AM-S7,4.0L,6cyl,20,18,24,"$3,050",4,"['PR', 'T']",2023
53,PORSCHE,718 Cayman GT4,M-6,4.0L,6cyl,19,17,23,"$3,200",4,"['PR', 'T']",2023
54,PORSCHE,718 Cayman GTS,AM-S7,4.0L,6cyl,21,19,24,"$2,900",4,"['PR', 'T']",2023
55,PORSCHE,718 Cayman GTS,M-6,4.0L,6cyl,19,17,24,"$3,200",4,"['PR', 'T']",2023
56,PORSCHE,718 Cayman S,AM-S7,2.5L,4cyl,22,19,25,"$2,800",5,"['PR', 'T', 'SS']",2023
57,PORSCHE,718 Cayman S,M-6,2.5L,4cyl,21,19,24,"$2,900",4,"['PR', 'T', 'SS']",2023
58,PORSCHE,718 Cayman T,AM-S7,2.0L,4cyl,23,21,27,"$2,650",5,"['PR', 'T', 'SS']",2023
59,PORSCHE,718 Cayman T,M-6,2.0L,4cyl,22,20,26,"$2,800",5,"['PR', 'T', 'SS']",2023
60,PORSCHE,718 GT4 RS,AM-S7,4.0L,6cyl,16,15,19,"$3,800",3,"['PR', 'Tax', 'SS']",2023
61,PORSCHE,718 Spyder,AM-S7,4.0L,6cyl,20,18,24,"$3,050",4,"['PR', 'T']",2023
62,PORSCHE,718 Spyder,M-6,4.0L,6cyl,19,17,23,"$3,200",4,"['PR', 'T']",2023
63,PORSCHE,911 GT3,AM-S7,4.0L,6cyl,16,15,18,"$3,800",3,"['PR', 'Tax', 'SS']",2023
