,Manufacturer,Model,Trans,Eng Size,Cyl,MPG Comb,MPG City,MPG Hwy,Annual Fuel Cost,GHG Rating,Notes,Year
212,MINI,Cooper S Hardtop 2 door,AM-S7,2.0L,4cyl,31,28,38,"$1,950",6,"['P', 'T', 'SS']",2023
213,MINI,Cooper S Hardtop 2 door,M-6,2.0L,4cyl,27,23,33,"$2,250",5,"['P', 'T']",2023
214,MINI,Cooper S Hardtop 4 door,AM-S7,2.0L,4cyl,31,28,38,"$1,950",6,"['P', 'T']",2023
215,MINI,Cooper S Hardtop 4 door,M-6,2.0L,4cyl,27,23,33,"$2,250",5,"['P', 'T']",2023
216,MINI,John Cooper Works Hardtop 2 door,A-S8,2.0L,4cyl,29,25,34,"$2,100",6,"['P', 'T']",2023
217,MINI,John Cooper Works Hardtop 2 door,M-6,2.0L,4cyl,25,22,31,"$2,450",5,"['P', 'T']",2023
218,NISSAN,GT-R,AM-S6,3.8L,6cyl,18,16,22,"$3,400",4,"['PR', 'T']",2023
219,TOYOTA,GR Corolla,M-6,1.6L,3cyl,24,21,28,"$2,550",5,"['PR', 'T']",2023
220,ACURA,TLX AWD,A-S10,2.0L,4cyl,24,21,29,"$2,550",5,"['P', 'T', 'SS']",2023
221,ACURA,TLX AWD A-SPEC,A-S10,2.0L,4cyl,24,21,29,"$2,550",5,"['P', 'T', 'SS']",2023
222,ACURA,TLX FWD,A-S10,2.0L,4cyl,25,22,31,"$2,450",5,"['P', 'T', 'SS']",2023
223,ACURA,TLX FWD A-SPEC,A-S10,2.0L,4cyl,25,22,30,"$2,450",5,"['P', 'T', 'SS']",2023
224,ACURA,TLX Type-S,A-S10,3.0L,6cyl,21,19,25,"$2,900",4,"['P', 'T', 'CD', 'SS']",2023
225,ACURA,TLX Type-S Perf Tire,A-S10,3.0L,6cyl,21,19,24,"$2,900",4,"['P', 'T', 'CD', 'SS']",2023
226,AUDI,A4 quattro,AM-S7,2.0L,4cyl,28,24,33,"$2,200",6,"['P', 'T', 'MHEV', 'SS']",2023
227,AUDI,A4 S-Line quattro,AM-S7,2.0L,4cyl,27,24,32,"$2,250",5,"['P', 'T', 'MHEV', 'SS']",2023
228,AUDI,S4,A-S8,3.0L,6cyl,24,21,30,"$2,550",5,"['P', 'T', 'SS']",2023
229,BMW,228i Gran Coupe,A-S8,2.0L,4cyl,28,24,34,"$2,200",6,"['P', 'T', 'SS']",2023
230,BMW,228i xDrive Gran Coupe,A-S8,2.0L,4cyl,27,23,33,"$2,250",5,"['P', 'T', 'SS']",2023
231,BMW,330i Sedan,A-S8,2.0L,4cyl,29,25,34,"$2,100",6,"['P', 'T', 'SS']",2023
232,BMW,330i xDrive Sedan,A-S8,2.0L,4cyl,27,24,33,"$2,250",5,"['P', 'T', 'SS']",2023
233,BMW,430i Gran Coupe,A-S8,2.0L,4cyl,28,25,34,"$2,200",6,"['P', 'T', 'SS']",2023
234,BMW,430i xDrive Gran Coupe,A-S8,2.0L,4cyl,27,23,33,"$2,250",5,"['P', 'T', 'SS']",2023
235,BMW,M235i xDrive Gran Coupe,A-S8,2.0L,4cyl,27,24,33,"$2,250",5,"['P', 'T', 'SS']",2023
236,BMW,M3 Competition M xDrive Sedan,A-S8,3.0L,6cyl,18,16,22,"$3,400",4,"['PR', 'T', 'SS']",2023
237,BMW,M3 Competition Sedan,A-S8,3.0L,6cyl,19,16,23,"$3,200",4,"['PR', 'T', 'SS']",2023
238,BMW,M3 Sedan,M-6,3.0L,6cyl,19,16,23,"$3,200",4,"['PR', 'T', 'SS']",2023
239,BMW,M340i Sedan,A-S8,3.0L,6cyl,26,23,31,"$2,350",5,"['P', 'T', 'MHEV', 'SS']",2023
240,BMW,M340i xDrive Sedan,A-S8,3.0L,6cyl,26,23,32,"$2,350",5,"['P', 'T', 'MHEV', 'SS']",2023
241,BMW,M440i Gran Coupe,A-S8,3.0L,6cyl,27,24,32,"$2,250",5,"['P', 'T', 'MHEV', 'SS']",2023
242,BMW,M440i xDrive Gran Coupe,A-S8,3.0L,6cyl,25,22,31,"$2,450",5,"['P', 'T', 'MHEV', 'SS']",2023
243,CADILLAC,CT4,A-S8,2.0L,4cyl,27,23,34,"$2,250",5,"['PR', 'T', 'CD', 'SS']",2023
244,CADILLAC,CT4,A-S10,2.7L,4cyl,25,21,31,"$2,450",5,"['PR', 'T', 'CD', 'SS']",2023
245,CADILLAC,CT4 AWD,A-S8,2.0L,4cyl,26,22,31,"$2,350",5,"['PR', 'T', 'CD', 'SS']",2023
246,CADILLAC,CT4 AWD,A-S10,2.7L,4cyl,24,21,29,"$2,550",5,"['PR', 'T', 'CD', 'SS']",2023
247,CADILLAC,CT4 V,A-S10,2.7L,4cyl,23,20,29,"$2,650",5,"['PR', 'T', 'CD', 'SS']",2023
248,CADILLAC,CT4 V,A-S10,3.6L,6cyl,19,16,24,"$3,200",4,"['PR', 'T']",2023
249,CADILLAC,CT4 V,M-6,3.6L,6cyl,18,15,23,"$3,400",4,"['PR', 'T']",2023
250,CADILLAC,CT4 V AWD,A-S10,2.7L,4cyl,23,20,28,"$2,650",5,"['PR', 'T', 'CD', 'SS']",2023
251,FERRARI,F175 AHA,AM-8,6.5L,12cyl,12,11,15,"$5,100",1,"['PR', 'Tax', 'SS']",2023
252,GENESIS,G70 AWD,A-S8,2.0L,4cyl,23,20,28,"$2,650",5,"['P', 'T']",2023
253,GENESIS,G70 AWD,A-S8,3.3L,6cyl,20,17,26,"$3,050",4,"['P', 'T']",2023
254,GENESIS,G70 RWD,A-S8,2.0L,4cyl,25,21,31,"$2,450",5,"['P', 'T']",2023
255,GENESIS,G70 RWD,A-S8,3.3L,6cyl,21,18,27,"$2,900",4,"['P', 'T']",2023
256,KIA,Rio,AV-S1,1.6L,4cyl,36,32,41,"$1,300",7,[],2023
257,LEXUS,IS 300,A-S8,2.0L,4cyl,25,21,31,"$2,450",5,"['PR', 'T']",2023
258,LEXUS,IS 300 AWD,A-S6,3.5L,6cyl,22,19,26,"$2,800",5,['PR'],2023
259,LEXUS,IS 350,A-S8,3.5L,6cyl,23,20,28,"$2,650",5,['PR'],2023
260,LEXUS,IS 350 AWD,A-S6,3.5L,6cyl,22,19,26,"$2,800",5,['PR'],2023
261,LEXUS,IS 500,A-S8,5.0L,8cyl,20,17,25,"$3,050",4,['PR'],2023
262,LEXUS,UX 250h,AV-S6,2.0L,4cyl,42,43,41,"$1,150",8,"['HEV', 'SS']",2023
263,LEXUS,UX 250h AWD,AV-S6,2.0L,4cyl,39,41,38,"$1,200",7,"['HEV', 'SS']",2023
264,MAZDA,3 4-Door 2WD,A-S6,2.0L,4cyl,31,28,36,"$1,550",6,[],2023
265,MAZDA,3 4-Door 2WD,A-S6,2.5L,4cyl,31,28,37,"$1,550",6,['CD'],2023
266,MAZDA,3 4-Door 4WD,A-S6,2.5L,4cyl,30,26,35,"$1,600",6,['CD'],2023
267,MAZDA,3 4-Door 4WD,A-S6,2.5L,4cyl,27,23,32,"$1,750",5,['T'],2023
268,MERCEDES-BENZ,AMG C43 4matic,A-9,2.0L,4cyl,22,19,26,"$2,800",5,"['PR', 'T', 'MHEV', 'SS']",2023
269,MERCEDES-BENZ,AMG CLA35 4matic,AM-7,2.0L,4cyl,24,21,29,"$2,550",5,"['PR', 'T', 'SS']",2023
270,MERCEDES-BENZ,AMG CLA45 4matic,AM-8,2.0L,4cyl,23,20,28,"$2,650",5,"['PR', 'T', 'SS']",2023
271,MERCEDES-BENZ,AMG GT 43 4matic Plus,A-9,3.0L,6cyl,21,19,24,"$2,900",4,"['PR', 'MHEV', 'SS']",2023
272,MERCEDES-BENZ,AMG GT 53 4matic Plus,A-9,3.0L,6cyl,21,19,24,"$2,900",4,"['PR', 'MHEV', 'SS']",2023
273,MERCEDES-BENZ,AMG GT 63 4matic Plus,A-9,4.0L,8cyl,17,15,21,"$3,600",3,"['PR', 'T', 'Tax', 'CD', 'SS']",2023
274,MERCEDES-BENZ,AMG GT 63 S 4matic Plus,A-9,4.0L,8cyl,17,15,21,"$3,600",3,"['PR', 'T', 'Tax', 'CD', 'SS']",2023
275,MERCEDES-BENZ,C300,A-9,2.0L,4cyl,29,25,36,"$2,100",6,"['PR', 'T', 'MHEV', 'SS']",2023
276,MERCEDES-BENZ,C300 4matic,A-9,2.0L,4cyl,27,24,33,"$2,250",5,"['PR', 'T', 'MHEV', 'SS']",2023
277,MERCEDES-BENZ,CLA250,AM-7,2.0L,4cyl,29,25,36,"$2,100",6,"['PR', 'T', 'SS']",2023
278,MERCEDES-BENZ,CLA250 4matic,AM-7,2.0L,4cyl,27,24,33,"$2,250",5,"['PR', 'T', 'SS']",2023
279,MERCEDES-BENZ,CLS450 4matic,A-9,3.0L,6cyl,25,22,30,"$2,450",5,"['PR', 'T', 'MHEV', 'SS']",2023
280,MITSUBISHI,Mirage,AV,1.2L,3cyl,39,36,43,"$1,200",7,[],2023
281,MITSUBISHI,Mirage,M-5,1.2L,3cyl,36,33,41,"$1,300",7,[],2023
282,MITSUBISHI,Mirage G4,AV,1.2L,3cyl,37,35,41,"$1,300",7,[],2023
283,MITSUBISHI,Mirage G4,M-5,1.2L,3cyl,35,33,40,"$1,350",7,[],2023
284,NISSAN,Versa,AV,1.6L,4cyl,35,32,40,"$1,350",7,[],2023
285,NISSAN,Versa,M-5,1.6L,4cyl,30,27,35,"$1,600",6,[],2023
286,TOYOTA,Corolla,AV-S10,2.0L,4cyl,35,32,41,"$1,350",7,[],2023
287,TOYOTA,Corolla,AV-S10,2.0L,4cyl,34,31,40,"$1,400",7,['3-Mode'],2023
288,TOYOTA,Corolla Hatchback,AV-S10,2.0L,4cyl,35,32,41,"$1,350",7,[],2023
289,TOYOTA,Corolla Hatchback XSE,AV-S10,2.0L,4cyl,33,30,38,"$1,450",6,[],2023
290,TOYOTA,Corolla Hybrid,AV,1.8L,4cyl,50,53,46,$950,8,"['HEV', 'SS']",2023
291,TOYOTA,Corolla Hybrid,AV,1.8L,4cyl,47,50,43,"$1,000",8,"['S-Mode', 'HEV', 'SS']",2023
292,TOYOTA,Corolla Hybrid AWD,AV,1.8L,4cyl,48,51,44,"$1,000",8,"['HEV', 'SS']",2023
293,TOYOTA,Corolla Hybrid AWD,AV,1.8L,4cyl,44,47,41,"$1,100",8,"['S-Mode', 'HEV', 'SS']",2023
294,VOLKSWAGEN,GLI,AM-S7,2.0L,4cyl,30,26,36,"$1,600",6,"['T', 'SS']",2023
295,VOLKSWAGEN,GLI,M-6,2.0L,4cyl,30,26,37,"$1,600",6,['T'],2023
296,VOLKSWAGEN,Golf-R,AM-S7,2.0L,4cyl,26,23,30,"$2,350",5,"['P', 'T', 'SS']",2023
297,VOLKSWAGEN,Golf-R,M-6,2.0L,4cyl,23,20,28,"$2,650",5,"['P', 'T']",2023
298,VOLKSWAGEN,GTI,AM-S7,2.0L,4cyl,28,24,34,"$1,700",6,"['T', 'SS']",2023
299,VOLKSWAGEN,GTI,M-6,2.0L,4cyl,27,23,32,"$1,750",5,['T'],2023
300,VOLKSWAGEN,Jetta,A-S8,1.5L,4cyl,35,31,41,"$1,350",7,"['T', 'SS']",2023
301,VOLKSWAGEN,Jetta,M-6,1.5L,4cyl,34,29,42,"$1,400",7,['T'],2023
302,VOLKSWAGEN,Jetta Sport/SE/SEL,A-S8,1.5L,4cyl,33,29,40,"$1,450",6,"['T', 'SS']",2023
303,VOLVO,S60 B5,A-S8,2.0L,4cyl,30,26,35,"$2,050",6,"['PR', 'T', 'MHEV', 'SS']",2023
304,VOLVO,S60 B5 AWD,A-S8,2.0L,4cyl,28,25,33,"$2,200",6,"['PR', 'T', 'MHEV', 'SS']",2023
305,ALFA ROMEO,Giulia,A-8,2.0L,4cyl,27,24,33,"$2,250",5,"['P', 'T', 'SS']",2023
306,ALFA ROMEO,Giulia,A-8,2.9L,6cyl,20,17,25,"$3,050",4,"['P', 'T', 'CD', 'SS']",2023
307,ALFA ROMEO,Giulia AWD,A-8,2.0L,4cyl,26,23,31,"$2,350",5,"['P', 'T', 'SS']",2023
308,AUDI,A5 Sportback quattro,AM-S7,2.0L,4cyl,28,24,33,"$2,200",6,"['P', 'T', 'MHEV', 'SS']",2023
309,AUDI,A5 Sportback S-Line quattro,AM-S7,2.0L,4cyl,27,24,32,"$2,250",5,"['P', 'T', 'MHEV', 'SS']",2023
310,AUDI,A6 quattro,AM-S7,2.0L,4cyl,27,24,31,"$2,250",5,"['P', 'T', 'MHEV', 'SS']",2023
311,AUDI,A6 quattro,AM-S7,3.0L,6cyl,24,21,30,"$2,550",5,"['P', 'T', 'MHEV', 'SS']",2023
312,AUDI,A7,AM-S7,3.0L,6cyl,24,21,30,"$2,550",5,"['P', 'T', 'MHEV', 'SS']",2023
313,AUDI,RS 5 Sportback,A-S8,2.9L,6cyl,21,18,25,"$2,900",4,"['P', 'T']",2023
314,AUDI,RS 7,A-S8,4.0L,8cyl,17,14,21,"$3,600",3,"['P', 'T', 'Tax', 'CD', 'MHEV']",2023
315,SS,S5 Sportback,A-S8,3.0L,6cyl,24,21,30,"$2,550",5,"['P', 'T', 'SS']",2023
316,SS,S6,A-S8,2.9L,6cyl,22,19,26,"$2,800",5,"['P', 'T', 'MHEV', 'SS']",2023
317,SS,S7,A-S8,2.9L,6cyl,22,19,26,"$2,800",5,"['P', 'T', 'MHEV', 'SS']",2023
318,BENTLEY,Flying Spur,AM-S8,4.0L,8cyl,17,15,22,"$3,600",3,"['PR', 'T', 'Tax', 'CD', 'SS']",2023
319,BENTLEY,Flying Spur,AM-S8,6.0L,12cyl,15,12,19,"$4,100",2,"['P', 'T', 'Tax', 'CD', 'SS']",2023
320,BMW,530i Sedan,A-S8,2.0L,4cyl,28,25,33,"$2,200",6,"['P', 'T', 'SS']",2023
321,BMW,530i xDrive Sedan,A-S8,2.0L,4cyl,26,23,32,"$2,350",5,"['P', 'T', 'SS']",2023
322,BMW,540i Sedan,A-S8,3.0L,6cyl,27,25,32,"$2,250",5,"['P', 'T', 'MHEV', 'SS']",2023
323,BMW,540i xDrive Sedan,A-S8,3.0L,6cyl,25,22,29,"$2,450",5,"['P', 'T', 'MHEV', 'SS']",2023
324,BMW,840i Gran Coupe,A-S8,3.0L,6cyl,24,21,29,"$2,550",5,"['P', 'T', 'SS']",2023
325,BMW,840i xDrive Gran Coupe,A-S8,3.0L,6cyl,24,21,29,"$2,550",5,"['P', 'T', 'SS']",2023
326,BMW,Alpina B8 Gran Coupe,A-S8,4.4L,8cyl,19,17,24,"$3,200",4,"['P', 'T', 'SS']",2023
327,BMW,M5 Competition Sedan,A-S8,4.4L,8cyl,17,15,21,"$3,600",3,"['P', 'T', 'Tax', 'SS']",2023
328,BMW,M5 Sedan,A-S8,4.4L,8cyl,17,15,21,"$3,600",3,"['P', 'T', 'Tax', 'SS']",2023
329,BMW,M550i xDrive Sedan,A-S8,4.4L,8cyl,20,17,25,"$3,050",4,"['P', 'T', 'SS']",2023
330,BMW,M8 Competition Gran Coupe,A-S8,4.4L,8cyl,17,15,22,"$3,600",3,"['P', 'T', 'Tax', 'SS']",2023
331,BMW,M850i xDrive Gran Coupe,A-S8,4.4L,8cyl,19,17,24,"$3,200",4,"['P', 'T', 'SS']",2023
332,BMW,X2 M35i,A-S8,2.0L,4cyl,27,24,31,"$2,250",5,"['P', 'T', 'SS']",2023
333,BMW,X2 sDrive28i,A-S8,2.0L,4cyl,27,24,32,"$2,250",5,"['P', 'T', 'SS']",2023
334,BMW,X2 xDrive28i,A-S8,2.0L,4cyl,27,24,31,"$2,250",5,"['P', 'T', 'SS']",2023
335,CADILLAC,CT5,A-S10,2.0L,4cyl,27,23,33,"$2,250",5,"['PR', 'T', 'CD', 'SS']",2023
336,CADILLAC,CT5,A-S10,3.0L,6cyl,22,19,27,"$2,800",5,"['PR', 'T', 'CD', 'SS']",2023
337,CADILLAC,CT5 AWD,A-S10,2.0L,4cyl,25,22,30,"$2,450",5,"['PR', 'T', 'CD', 'SS']",2023
338,CADILLAC,CT5 AWD,A-S10,3.0L,6cyl,21,18,26,"$2,900",4,"['PR', 'T', 'CD', 'SS']",2023
339,CADILLAC,CT5 V,A-S10,3.0L,6cyl,21,18,27,"$2,900",4,"['PR', 'T', 'CD', 'SS']",2023
340,CADILLAC,CT5 V,A-S10,6.2L,8cyl,16,13,21,"$3,800",3,"['PR', 'S', 'Tax', 'CD']",2023
341,CADILLAC,CT5 V,M-6,6.2L,8cyl,15,13,21,"$4,100",2,"['PR', 'S', 'Tax']",2023
342,CADILLAC,CT5 V AWD,A-S10,3.0L,6cyl,21,18,26,"$2,900",4,"['PR', 'T', 'CD', 'SS']",2023
343,CHEVROLET,Malibu,AV,1.5L,4cyl,30,27,35,"$1,600",6,"['T', 'SS']",2023
344,DODGE,Challenger,A-8,3.6L,6cyl,23,19,30,"$2,050",5,[],2023
345,DODGE,Challenger,A-8,5.7L,8cyl,19,16,25,"$2,950",4,"['Mid', 'CD']",2023
346,DODGE,Challenger,M-6,5.7L,8cyl,18,15,23,"$3,400",4,['P'],2023
347,DODGE,Challenger,A-8,6.4L,8cyl,18,15,24,"$3,400",4,"['P', 'CD']",2023
348,DODGE,Challenger,M-6,6.4L,8cyl,17,14,23,"$3,600",3,"['P', 'Tax', 'CD']",2023
349,DODGE,Challenger AWD,A-8,3.6L,6cyl,21,18,27,"$2,250",4,[],2023
350,DODGE,Challenger SRT,A-8,6.2L,8cyl,16,13,22,"$3,800",3,"['P', 'S', 'Tax']",2023
351,DODGE,Challenger SRT,M-6,6.2L,8cyl,16,13,21,"$3,800",3,"['P', 'S', 'Tax']",2023
352,DODGE,Challenger SRT Demon 170,A-8,6.2L,8cyl,13,10,17,"$4,700",1,"['Gas', 'P', 'S', 'Tax']",2023
353,DODGE,Challenger SRT Widebody,A-8,6.2L,8cyl,15,13,21,"$4,100",2,"['P', 'S', 'Tax']",2023
354,DODGE,Challenger SRT Widebody,M-6,6.2L,8cyl,16,13,21,"$3,800",3,"['P', 'S', 'Tax']",2023
355,DODGE,Challenger Widebody,A-8,6.4L,8cyl,18,15,24,"$3,400",4,"['P', 'CD']",2023
356,DODGE,Challenger Widebody,M-6,6.4L,8cyl,17,14,23,"$3,600",3,"['P', 'Tax', 'CD']",2023
357,HONDA,Accord Hybrid Sport/Touring,AV,2.0L,4cyl,44,46,41,"$1,100",8,"['HEV', 'SS']",2023
358,HONDA,Civic 4Dr,AV,1.5L,4cyl,36,33,42,"$1,300",7,"['T', 'SS']",2023
359,HONDA,Civic 4Dr,AV-S7,1.5L,4cyl,34,31,38,"$1,400",7,"['T', 'SS']",2023
360,HONDA,Civic 4Dr,M-6,1.5L,4cyl,31,27,37,"$1,950",6,"['P', 'T', 'SS']",2023
361,HONDA,Civic 4Dr,AV,2.0L,4cyl,35,31,40,"$1,350",7,['SS'],2023
362,HONDA,Civic 4Dr,AV-S7,2.0L,4cyl,33,30,37,"$1,450",6,['SS'],2023
363,HYUNDAI,Elantra,AM-S7,1.6L,4cyl,31,28,36,"$1,550",6,['T'],2023
364,HYUNDAI,Elantra,AV-S1,2.0L,4cyl,37,33,42,"$1,300",7,['SS'],2023
365,HYUNDAI,Elantra,AV-S1,2.0L,4cyl,34,30,40,"$1,400",7,[],2023
366,HYUNDAI,Elantra Hybrid,AM-S6,1.6L,4cyl,50,49,52,$950,8,"['HEV', 'SS']",2023
367,HYUNDAI,Elantra Hybrid Blue,AM-S6,1.6L,4cyl,54,53,56,$900,9,"['HEV', 'SS']",2023
368,HYUNDAI,Elantra N,AM-S8,2.0L,4cyl,23,20,30,"$2,650",5,"['P', 'T']",2023
369,HYUNDAI,Elantra N,M-6,2.0L,4cyl,25,22,31,"$2,450",5,"['P', 'T']",2023
370,HYUNDAI,Venue,AV-S1,1.6L,4cyl,31,29,33,"$1,550",6,[],2023
371,INFINITI,Q50,A-S7,3.0L,6cyl,23,20,29,"$2,650",5,"['PR', 'T']",2023
372,INFINITI,Q50 AWD,A-S7,3.0L,6cyl,22,19,27,"$2,800",5,"['PR', 'T']",2023
373,INFINITI,Q50 Red Sport,A-S7,3.0L,6cyl,22,20,26,"$2,800",5,"['PR', 'T']",2023
374,INFINITI,Q50 Red Sport AWD,A-S7,3.0L,6cyl,22,19,26,"$2,800",5,"['PR', 'T']",2023
375,JAGUAR,XF P250,A-S8,2.0L,4cyl,28,25,33,"$2,200",6,"['P', 'T', 'SS']",2023
376,JAGUAR,XF P250 AWD,A-S8,2.0L,4cyl,26,23,32,"$2,350",5,"['P', 'T', 'SS']",2023
377,JAGUAR,XF P300 AWD,A-S8,2.0L,4cyl,25,22,30,"$2,450",5,"['P', 'T', 'SS']",2023
378,KIA,Forte,AM-S7,1.6L,4cyl,30,27,35,"$1,600",6,['T'],2023
379,KIA,Forte,M-6,1.6L,4cyl,26,22,31,"$1,850",5,['T'],2023
380,KIA,Forte,AV,2.0L,4cyl,32,28,39,"$1,500",6,[],2023
381,KIA,Forte FE,AV,2.0L,4cyl,34,30,41,"$1,400",7,[],2023
382,KIA,Stinger AWD,A-S8,2.5L,4cyl,24,21,29,"$2,550",5,"['P', 'T', 'SS']",2023
383,KIA,Stinger AWD,A-S8,3.3L,6cyl,20,17,24,"$3,050",4,"['P', 'T', 'SS']",2023
384,KIA,Stinger RWD,A-S8,2.5L,4cyl,25,22,32,"$2,450",5,"['P', 'T', 'SS']",2023
385,KIA,Stinger RWD,A-S8,3.3L,6cyl,20,18,25,"$3,050",4,"['P', 'T', 'SS']",2023
386,LEXUS,ES 250 AWD,A-S8,2.5L,4cyl,28,25,34,"$1,700",6,[],2023
387,LEXUS,ES 300h,AV-S6,2.5L,4cyl,44,43,44,"$1,100",8,"['HEV', 'SS']",2023
388,LEXUS,ES 350,A-S8,3.5L,6cyl,26,22,32,"$1,850",5,[],2023
389,LEXUS,ES 350 F Sport,A-S8,3.5L,6cyl,25,22,31,"$1,900",5,[],2023
390,LEXUS,LS 500,A-S10,3.4L,6cyl,22,18,29,"$2,800",5,"['PR', 'T']",2023
391,LEXUS,LS 500 AWD,A-S10,3.4L,6cyl,21,17,27,"$2,900",4,"['PR', 'T']",2023
392,LEXUS,LS 500h,AV-S10,3.5L,6cyl,25,22,29,"$2,450",5,"['PR', 'HEV', 'SS']",2023
393,LEXUS,LS 500h AWD,AV-S10,3.5L,6cyl,25,22,29,"$2,450",5,"['PR', 'HEV', 'SS']",2023
394,LEXUS,LS 500h AWD,AV-S10,3.5L,6cyl,25,22,29,"$2,450",5,"['PR', 'HEV', 'SS']",2023
395,MASERATI,Ghibli GT,A-8,3.0L,6cyl,20,18,25,"$3,050",4,"['PR', 'T', 'SS']",2023
396,MASERATI,Ghibli Modena AWD,A-8,3.0L,6cyl,20,17,25,"$3,050",4,"['PR', 'T', 'SS']",2023
397,MASERATI,Ghibli Modena RWD,A-8,3.0L,6cyl,20,18,25,"$3,050",4,"['PR', 'T', 'SS']",2023
398,MASERATI,Ghibli Trofeo,A-8,3.8L,8cyl,16,13,20,"$3,800",3,"['PR', 'T', 'Tax', 'SS']",2023
399,MAZDA,3 5-Door 2WD,A-S6,2.5L,4cyl,30,27,35,"$1,600",6,['CD'],2023
400,MAZDA,3 5-Door 2WD,M-6,2.5L,4cyl,30,26,36,"$1,600",6,['CD'],2023
401,MAZDA,3 5-Door 4WD,A-S6,2.5L,4cyl,29,26,33,"$1,650",6,['CD'],2023
402,MAZDA,3 5-Door 4WD,A-S6,2.5L,4cyl,26,23,31,"$1,850",5,['T'],2023
403,MERCEDES-BENZ,AMG E53 4matic Plus,A-9,3.0L,6cyl,24,21,29,"$2,550",5,"['PR', 'MHEV', 'SS']",2023
404,MERCEDES-BENZ,AMG E63 S 4matic Plus,A-9,4.0L,8cyl,19,16,24,"$3,200",4,"['PR', 'T', 'CD', 'SS']",2023
405,MERCEDES-BENZ,E350,A-9,2.0L,4cyl,26,23,31,"$2,350",5,"['PR', 'T', 'SS']",2023
406,MERCEDES-BENZ,E350 4matic,A-9,2.0L,4cyl,24,21,30,"$2,550",5,"['PR', 'T', 'SS']",2023
407,MERCEDES-BENZ,E450 4matic,A-9,3.0L,6cyl,26,23,31,"$2,350",5,"['PR', 'T', 'MHEV', 'SS']",2023
408,MINI,Cooper Countryman,AM-S7,1.5L,3cyl,28,26,32,"$2,200",6,"['P', 'T', 'SS']",2023
409,MINI,Cooper Countryman All4,A-S8,1.5L,3cyl,26,23,31,"$2,350",5,"['P', 'T', 'SS']",2023
410,MINI,Cooper S Clubman,AM-S7,2.0L,4cyl,29,25,35,"$2,100",6,"['P', 'T']",2023
411,MINI,Cooper S Clubman,M-6,2.0L,4cyl,25,22,32,"$2,450",5,"['P', 'T']",2023
412,MINI,Cooper S Clubman All4,A-S8,2.0L,4cyl,27,23,32,"$2,250",5,"['P', 'T', 'SS']",2023
413,MINI,Cooper S Countryman,AM-S7,2.0L,4cyl,28,24,33,"$2,200",6,"['P', 'T']",2023
414,MINI,Cooper S Countryman All4,A-S8,2.0L,4cyl,26,23,31,"$2,350",5,"['P', 'T', 'SS']",2023
415,MINI,JCW Countryman All4,A-S8,2.0L,4cyl,26,24,30,"$2,350",5,"['P', 'T', 'SS']",2023
416,MINI,John Cooper Works Clubman All4,A-S8,2.0L,4cyl,26,23,31,"$2,350",5,"['P', 'T', 'SS']",2023
417,NISSAN,Altima,AV,2.5L,4cyl,32,27,39,"$1,500",6,[],2023
418,NISSAN,Altima AWD,AV,2.5L,4cyl,30,26,36,"$1,600",6,[],2023
419,NISSAN,Altima SL/SR,AV,2.5L,4cyl,31,27,37,"$1,550",6,[],2023
420,NISSAN,Altima SR,AV-S8,2.0L,4cyl,29,25,34,"$1,650",6,['T'],2023
421,NISSAN,Kicks,AV,1.6L,4cyl,33,31,36,"$1,450",6,[],2023
422,NISSAN,Maxima,AV-S7,3.5L,6cyl,24,20,30,"$2,550",5,['P'],2023
423,NISSAN,Sentra,AV,2.0L,4cyl,33,29,39,"$1,450",6,[],2023
424,NISSAN,Sentra SR,AV,2.0L,4cyl,32,28,37,"$1,500",6,[],2023
425,SUBARU,Impreza 4-Door,AV-S7,2.0L,4cyl,32,28,36,"$1,500",6,[],2023
426,SUBARU,Impreza 4-Door,M-5,2.0L,4cyl,26,23,31,"$1,850",5,[],2023
427,SUBARU,Impreza Sport 4-Door,AV-S7,2.0L,4cyl,30,27,36,"$1,600",6,[],2023
428,SUBARU,WRX,AV-S8,2.4L,4cyl,21,19,25,"$2,900",4,"['P', 'T']",2023
429,SUBARU,WRX,M-6,2.4L,4cyl,22,19,26,"$2,800",5,"['P', 'T']",2023
430,TOYOTA,Camry,A-S8,3.5L,6cyl,26,22,33,"$1,850",5,[],2023
431,TOYOTA,Camry AWD LE/SE,A-S8,2.5L,4cyl,29,25,34,"$1,650",6,[],2023
432,TOYOTA,Camry AWD XLE/XSE,A-S8,2.5L,4cyl,28,25,34,"$1,700",6,[],2023
433,TOYOTA,Camry Hybrid LE,AV-S6,2.5L,4cyl,52,51,53,$900,9,"['HEV', 'SS']",2023
434,TOYOTA,Camry Hybrid SE/XLE/XSE,AV-S6,2.5L,4cyl,46,44,47,"$1,050",8,"['HEV', 'SS']",2023
435,TOYOTA,Camry LE/SE,A-S8,2.5L,4cyl,32,28,39,"$1,500",6,['3-Mode'],2023
436,TOYOTA,Camry LE/SE,A-S8,2.5L,4cyl,32,28,39,"$1,500",6,[],2023
437,TOYOTA,Camry TRD,A-S8,3.5L,6cyl,25,22,31,"$1,900",5,[],2023
438,TOYOTA,Camry XLE/XSE,A-S8,2.5L,4cyl,31,27,38,"$1,550",6,[],2023
439,TOYOTA,Camry XSE,A-S8,3.5L,6cyl,26,22,32,"$1,850",5,[],2023
