,Car Type,Manufacturer,Model,Trans,Eng Size,Cyl,MPG Comb,MPG City,MPG Hwy,Annual Fuel Cost,GHG Rating,Notes
0,TWO-SEATER CARS,ASTON MARTIN,Valour,M-6,5.2L,12cyl,14,12,18,"$4,350",2,"['P', 'T', 'Tax', 'CD']"
1,TWO-SEATER CARS,BMW,Z4 M40i,A-S8,3.0L,6cyl,26,23,31,"$2,350",5,"['P', 'T', 'SS']"
2,TWO-SEATER CARS,BMW,Z4 sDrive30i,A-S8,2.0L,4cyl,28,25,33,"$2,200",6,"['P', 'T', 'SS']"
3,TWO-SEATER CARS,BUGATTI,Chiron Super Sport,AM-S7,8.0L,16cyl,9,8,11,"$6,800",1,"['PR', 'T', 'Tax']"
4,TWO-SEATER CARS,CHEVROLET,Corvette,A-S8,6.2L,8cyl,19,16,25,"$3,200",4,"['PR', 'CD']"
5,TWO-SEATER CARS,CHEVROLET,Corvette E-RAY,A-S8,6.2L,8cyl,19,16,24,"$3,200",4,"['PR', 'CD', 'HEV', 'SS']"
6,TWO-SEATER CARS,CHEVROLET,Corvette Z06,A-S8,5.5L,8cyl,15,12,21,"$4,100",2,"['PR', 'Tax']"
7,TWO-SEATER CARS,CHEVROLET,Corvette Z06 Carbon Aero,A-S8,5.5L,8cyl,14,12,19,"$4,350",2,"['PR', 'Tax']"
8,TWO-SEATER CARS,FERRARI,812 Competizione,AM-7,6.5L,12cyl,14,12,16,"$4,350",2,"['PR', 'Tax', 'SS']"
9,TWO-SEATER CARS,FERRARI,812 Competizione A,AM-7,6.5L,12cyl,14,12,16,"$4,350",2,"['PR', 'Tax', 'SS']"
10,TWO-SEATER CARS,FERRARI,Daytona SP3,AM-7,6.5L,12cyl,13,12,16,"$4,700",1,"['PR', 'Tax', 'SS']"
11,TWO-SEATER CARS,JAGUAR,F-Type P450 AWD R-Dynamic Convertible,A-S8,5.0L,8cyl,18,16,24,"$3,400",4,"['P', 'S', 'SS']"
12,TWO-SEATER CARS,JAGUAR,F-Type P450 AWD R-Dynamic Coupe,A-S8,5.0L,8cyl,18,16,24,"$3,400",4,"['P', 'S', 'SS']"
13,TWO-SEATER CARS,JAGUAR,F-Type P450 RWD Convertible,A-S8,5.0L,8cyl,19,17,24,"$3,200",4,"['P', 'S', 'SS']"
