,Car Type,Manufacturer,Model,Trans,Eng Size,Cyl,MPG Comb,MPG City,MPG Hwy,Annual Fuel Cost,GHG Rating,Notes
14,TWO-SEATER CARS,JAGUAR,F-Type P450 RWD Coupe,A-S8,5.0L,8cyl,19,17,24,"$3,200",4,"['P', 'S', 'SS']"
15,TWO-SEATER CARS,JAGUAR,F-Type R AWD Convertible,A-S8,5.0L,8cyl,18,16,24,"$3,400",4,"['P', 'S', 'SS']"
16,TWO-SEATER CARS,JAGUAR,F-Type R AWD Coupe,A-S8,5.0L,8cyl,18,16,24,"$3,400",4,"['P', 'S', 'SS']"
17,TWO-SEATER CARS,LAMBORGHINI,Huracan Coupe 2WD,AM-S7,5.2L,10cyl,15,13,18,"$4,100",2,"['PR', 'Tax', 'CD']"
18,TWO-SEATER CARS,LAMBORGHINI,Huracan Spyder,AM-S7,5.2L,10cyl,15,13,18,"$4,100",2,"['PR', 'Tax', 'CD']"
19,TWO-SEATER CARS,LAMBORGHINI,Huracan Sterrato,AM-S7,5.2L,10cyl,15,13,18,"$4,100",2,"['PR', 'Tax', 'CD']"
20,TWO-SEATER CARS,LAMBORGHINI,Revuelto,AM-S8,6.5L,12cyl,12,10,17,"$5,100",1,"['PR', 'Tax', 'HEV', 'SS']"
21,TWO-SEATER CARS,LOTUS,Emira,A-S6,3.5L,6cyl,21,18,26,"$2,250",4,['S']
22,TWO-SEATER CARS,LOTUS,Emira,M-6,3.5L,6cyl,19,16,24,"$2,500",4,['S']
23,TWO-SEATER CARS,MASERATI,MC20,A-S8,3.0L,6cyl,18,15,25,"$3,400",4,"['PR', 'T']"
24,TWO-SEATER CARS,MASERATI,MC20 Spyder,A-S8,3.0L,6cyl,18,15,25,"$3,400",4,"['PR', 'T']"
25,TWO-SEATER CARS,MAZDA,MX-5,A-S6,2.0L,4cyl,29,26,35,"$2,100",6,['P']
26,TWO-SEATER CARS,MAZDA,MX-5,M-6,2.0L,4cyl,29,26,34,"$2,100",6,['P']
27,TWO-SEATER CARS,MERCEDES-BENZ,AMG SL43,A-9,2.0L,4cyl,22,20,27,"$2,800",5,"['PR', 'T', 'MHEV', 'SS']"
28,TWO-SEATER CARS,NISSAN,Z,A-S9,3.0L,6cyl,22,19,28,"$2,800",5,"['PR', 'T']"
29,TWO-SEATER CARS,NISSAN,Z,M-6,3.0L,6cyl,20,18,24,"$3,050",4,"['PR', 'T']"
30,TWO-SEATER CARS,NISSAN,Z NISMO,A-S9,3.0L,6cyl,19,17,24,"$3,200",4,"['PR', 'T']"
31,TWO-SEATER CARS,PORSCHE,718 Boxster,AM-S7,2.0L,4cyl,24,21,27,"$2,550",5,"['PR', 'T', 'SS']"
32,TWO-SEATER CARS,PORSCHE,718 Boxster,M-6,2.0L,4cyl,22,20,25,"$2,800",5,"['PR', 'T', 'SS']"
33,TWO-SEATER CARS,PORSCHE,718 Boxster GTS,AM-S7,4.0L,6cyl,21,19,24,"$2,900",4,['PR']
34,TWO-SEATER CARS,PORSCHE,718 Boxster GTS,M-6,4.0L,6cyl,19,17,24,"$3,200",4,['PR']
35,TWO-SEATER CARS,PORSCHE,718 Boxster S,AM-S7,2.5L,4cyl,22,19,25,"$2,800",5,"['PR', 'T', 'SS']"
36,TWO-SEATER CARS,PORSCHE,718 Boxster S,M-6,2.5L,4cyl,21,19,24,"$2,900",4,"['PR', 'T', 'SS']"
37,TWO-SEATER CARS,PORSCHE,718 Cayman,AM-S7,2.0L,4cyl,24,21,27,"$2,550",5,"['PR', 'T', 'SS']"
38,TWO-SEATER CARS,PORSCHE,718 Cayman,M-6,2.0L,4cyl,22,20,25,"$2,800",5,"['PR', 'T', 'SS']"
39,TWO-SEATER CARS,PORSCHE,718 Cayman GTS,AM-S7,4.0L,6cyl,21,19,24,"$2,900",4,['PR']
40,TWO-SEATER CARS,PORSCHE,718 Cayman GTS,M-6,4.0L,6cyl,19,17,24,"$3,200",4,['PR']
41,TWO-SEATER CARS,PORSCHE,718 Cayman S,AM-S7,2.5L,4cyl,22,19,25,"$2,800",5,"['PR', 'T', 'SS']"
42,TWO-SEATER CARS,PORSCHE,718 Cayman S,M-6,2.5L,4cyl,21,19,24,"$2,900",4,"['PR', 'T', 'SS']"
43,TWO-SEATER CARS,PORSCHE,718 GT4 RS,AM-S7,4.0L,6cyl,16,15,19,"$3,800",3,"['PR', 'Tax', 'SS']"
44,TWO-SEATER CARS,PORSCHE,718 Spyder RS,AM-S7,4.0L,6cyl,16,14,19,"$3,800",3,"['PR', 'Tax', 'SS']"
45,TWO-SEATER CARS,PORSCHE,911 GT3,AM-S7,4.0L,6cyl,16,14,18,"$3,800",3,"['PR', 'Tax', 'SS']"
46,TWO-SEATER CARS,PORSCHE,911 GT3,M-6,4.0L,6cyl,15,13,19,"$4,100",2,"['PR', 'Tax']"
47,TWO-SEATER CARS,PORSCHE,911 GT3 RS,AM-S7,4.0L,6cyl,16,14,18,"$3,800",3,"['PR', 'Tax', 'SS']"
48,TWO-SEATER CARS,PORSCHE,911 GT3 Touring,AM-S7,4.0L,6cyl,16,14,18,"$3,800",3,"['PR', 'Tax', 'SS']"
49,TWO-SEATER CARS,PORSCHE,911 GT3 Touring,M-6,4.0L,6cyl,15,13,19,"$4,100",2,"['PR', 'Tax']"
50,TWO-SEATER CARS,PORSCHE,911 S/T,M-6,4.0L,6cyl,15,13,19,"$4,100",2,"['PR', 'Tax', 'SS']"
51,TWO-SEATER CARS,TOYOTA,GR Supra,A-S8,2.0L,4cyl,27,25,31,"$2,250",5,"['P', 'T', 'SS']"
52,TWO-SEATER CARS,TOYOTA,GR Supra,A-S8,3.0L,6cyl,26,23,31,"$2,350",5,"['P', 'T', 'SS']"
53,TWO-SEATER CARS,TOYOTA,GR Supra,M-6,3.0L,6cyl,21,19,27,"$2,900",4,"['P', 'T']"
54,MINICOMPACT CARS,ASTON MARTIN,DB12 V8,A-8,4.0L,8cyl,17,15,22,"$3,600",3,"['P', 'T']"
55,MINICOMPACT CARS,BENTLEY,Continental GTC,AM-S8,4.0L,8cyl,16,14,21,"$3,800",3,"['PR', 'T', 'Tax', 'CD', 'SS']"
56,MINICOMPACT CARS,BENTLEY,Continental GTC,AM-S8,6.0L,12cyl,14,12,19,"$4,350",2,"['P', 'T', 'Tax', 'CD', 'SS']"
57,MINICOMPACT CARS,FERRARI,Roma Spider,AM-8,3.9L,8cyl,19,17,22,"$3,200",4,"['PR', 'T', 'SS']"
58,MINICOMPACT CARS,LEXUS,LC 500 Convertible,A-S10,5.0L,8cyl,18,15,25,"$3,400",4,['PR']
59,MINICOMPACT CARS,MERCEDES-BENZ,AMG SL55 4matic Plus,A-9,4.0L,8cyl,16,14,21,"$3,800",3,"['PR', 'T', 'Tax', 'SS']"
60,MINICOMPACT CARS,MERCEDES-BENZ,AMG SL63 4matic Plus,A-9,4.0L,8cyl,16,14,21,"$3,800",3,"['PR', 'T', 'Tax', 'SS']"
61,MINICOMPACT CARS,MINI,Cooper Convertible,AM-S7,1.5L,3cyl,32,29,38,"$1,900",6,"['P', 'T', 'SS']"
62,MINICOMPACT CARS,MINI,Cooper Convertible,M-6,1.5L,3cyl,31,27,38,"$1,950",6,"['P', 'T', 'SS']"
63,MINICOMPACT CARS,MINI,Cooper S Convertible,AM-S7,2.0L,4cyl,30,27,36,"$2,050",6,"['P', 'T', 'SS']"
64,MINICOMPACT CARS,MINI,Cooper S Convertible,M-6,2.0L,4cyl,27,23,33,"$2,250",5,"['P', 'T', 'SS']"
65,MINICOMPACT CARS,MINI,John Cooper Works Convertible,A-S8,2.0L,4cyl,28,25,33,"$2,200",6,"['P', 'T', 'SS']"
66,MINICOMPACT CARS,PORSCHE,911 Carrera,AM-S8,3.0L,6cyl,20,18,24,"$3,050",4,"['PR', 'T', 'SS']"
67,MINICOMPACT CARS,PORSCHE,911 Carrera 4,AM-S8,3.0L,6cyl,20,18,24,"$3,050",4,"['PR', 'T', 'SS']"
68,MINICOMPACT CARS,PORSCHE,911 Carrera 4 Cabriolet,AM-S8,3.0L,6cyl,20,18,24,"$3,050",4,"['PR', 'T', 'SS']"
69,MINICOMPACT CARS,PORSCHE,911 Carrera 4 GTS,AM-S8,3.0L,6cyl,19,17,23,"$3,200",4,"['PR', 'T', 'SS']"
70,MINICOMPACT CARS,PORSCHE,911 Carrera 4 GTS,M-7,3.0L,6cyl,19,17,23,"$3,200",4,"['PR', 'T', 'SS']"
71,MINICOMPACT CARS,PORSCHE,911 Carrera 4 GTS Cabriolet,AM-S8,3.0L,6cyl,19,17,22,"$3,200",4,"['PR', 'T', 'SS']"
72,MINICOMPACT CARS,PORSCHE,911 Carrera 4 GTS Cabriolet,M-7,3.0L,6cyl,19,16,23,"$3,200",4,"['PR', 'T', 'SS']"
73,MINICOMPACT CARS,PORSCHE,911 Carrera 4S,AM-S8,3.0L,6cyl,20,18,23,"$3,050",4,"['PR', 'T', 'SS']"
74,MINICOMPACT CARS,PORSCHE,911 Carrera 4S,M-7,3.0L,6cyl,20,17,25,"$3,050",4,"['PR', 'T', 'SS']"
75,MINICOMPACT CARS,PORSCHE,911 Carrera 4S Cabriolet,AM-S8,3.0L,6cyl,20,18,23,"$3,050",4,"['PR', 'T', 'SS']"
76,MINICOMPACT CARS,PORSCHE,911 Carrera 4S Cabriolet,M-7,3.0L,6cyl,20,17,24,"$3,050",4,"['PR', 'T', 'SS']"
77,MINICOMPACT CARS,PORSCHE,911 Carrera Cabriolet,AM-S8,3.0L,6cyl,20,18,24,"$3,050",4,"['PR', 'T', 'SS']"
78,MINICOMPACT CARS,PORSCHE,911 Carrera GTS,AM-S8,3.0L,6cyl,19,17,23,"$3,200",4,"['PR', 'T', 'SS']"
79,MINICOMPACT CARS,PORSCHE,911 Carrera GTS,M-7,3.0L,6cyl,20,17,24,"$3,050",4,"['PR', 'T', 'SS']"
80,MINICOMPACT CARS,PORSCHE,911 Carrera GTS Cabriolet,AM-S8,3.0L,6cyl,19,17,23,"$3,200",4,"['PR', 'T', 'SS']"
81,MINICOMPACT CARS,PORSCHE,911 Carrera GTS Cabriolet,M-7,3.0L,6cyl,20,17,24,"$3,050",4,"['PR', 'T', 'SS']"
82,MINICOMPACT CARS,PORSCHE,911 Carrera S,AM-S8,3.0L,6cyl,20,18,23,"$3,050",4,"['PR', 'T', 'SS']"
83,MINICOMPACT CARS,PORSCHE,911 Carrera S,M-7,3.0L,6cyl,21,18,25,"$2,900",4,"['PR', 'T', 'SS']"
84,MINICOMPACT CARS,PORSCHE,911 Carrera S Cabriolet,AM-S8,3.0L,6cyl,20,18,23,"$3,050",4,"['PR', 'T', 'SS']"
85,MINICOMPACT CARS,PORSCHE,911 Carrera S Cabriolet,M-7,3.0L,6cyl,20,17,25,"$3,050",4,"['PR', 'T', 'SS']"
86,MINICOMPACT CARS,PORSCHE,911 Carrera T,AM-S8,3.0L,6cyl,20,18,24,"$3,050",4,"['PR', 'T', 'SS']"
87,MINICOMPACT CARS,PORSCHE,911 Carrera T,M-7,3.0L,6cyl,20,17,25,"$3,050",4,"['PR', 'T', 'SS']"
88,MINICOMPACT CARS,PORSCHE,911 Dakar,AM-S8,3.0L,6cyl,19,16,24,"$3,200",4,"['PR', 'T', 'SS']"
89,MINICOMPACT CARS,PORSCHE,911 Targa 4,AM-S8,3.0L,6cyl,20,18,24,"$3,050",4,"['PR', 'T', 'SS']"
90,MINICOMPACT CARS,PORSCHE,911 Targa 4 GTS,AM-S8,3.0L,6cyl,19,17,22,"$3,200",4,"['PR', 'T', 'SS']"
91,MINICOMPACT CARS,PORSCHE,911 Targa 4 GTS,M-7,3.0L,6cyl,19,16,23,"$3,200",4,"['PR', 'T', 'SS']"
92,MINICOMPACT CARS,PORSCHE,911 Targa 4S,AM-S8,3.0L,6cyl,20,18,23,"$3,050",4,"['PR', 'T', 'SS']"
93,MINICOMPACT CARS,PORSCHE,911 Targa 4S,M-7,3.0L,6cyl,20,17,24,"$3,050",4,"['PR', 'T', 'SS']"
94,MINICOMPACT CARS,PORSCHE,911 Turbo,AM-S8,3.7L,6cyl,17,14,21,"$3,600",3,"['PR', 'T', 'Tax', 'SS']"
95,MINICOMPACT CARS,PORSCHE,911 Turbo Cabriolet,AM-S8,3.7L,6cyl,16,14,20,"$3,800",3,"['PR', 'T', 'Tax', 'SS']"
96,MINICOMPACT CARS,PORSCHE,911 Turbo S,AM-S8,3.7L,6cyl,16,14,20,"$3,800",3,"['PR', 'T', 'Tax', 'SS']"
97,MINICOMPACT CARS,PORSCHE,911 Turbo S Cabriolet,AM-S8,3.7L,6cyl,16,14,20,"$3,800",3,"['PR', 'T', 'Tax', 'SS']"
98,MINICOMPACT CARS,SUBARU,BRZ,A-S6,2.4L,4cyl,25,21,30,"$2,450",5,['PR']
99,MINICOMPACT CARS,SUBARU,BRZ,M-6,2.4L,4cyl,22,20,27,"$2,800",5,['PR']
100,MINICOMPACT CARS,TOYOTA,GR 86,A-S6,2.4L,4cyl,24,21,30,"$2,550",5,['PR']
101,MINICOMPACT CARS,TOYOTA,GR 86,M-6,2.4L,4cyl,22,20,26,"$2,800",5,['PR']
102,SUBCOMPACT CARS,AUDI,A3,AM-S7,2.0L,4cyl,32,29,37,"$1,500",6,"['T', 'MHEV', 'SS']"
103,SUBCOMPACT CARS,AUDI,A3 quattro,AM-S7,2.0L,4cyl,30,27,34,"$1,600",6,"['T', 'MHEV', 'SS']"
104,SUBCOMPACT CARS,AUDI,A5 Cabriolet quattro,AM-S7,2.0L,4cyl,27,24,33,"$2,250",5,"['P', 'T', 'MHEV', 'SS']"
105,SUBCOMPACT CARS,AUDI,A5 Coupe quattro,AM-S7,2.0L,4cyl,27,24,32,"$2,250",5,"['P', 'T', 'MHEV', 'SS']"
106,SUBCOMPACT CARS,AUDI,RS 3,AM-S7,2.5L,5cyl,23,19,29,"$2,650",5,"['P', 'T']"
107,SUBCOMPACT CARS,AUDI,RS 5 Coupe,A-S8,2.9L,6cyl,21,18,25,"$2,900",4,"['P', 'T']"
108,SUBCOMPACT CARS,AUDI,S3,AM-S7,2.0L,4cyl,26,23,32,"$2,350",5,"['P', 'T', 'MHEV', 'SS']"
109,SUBCOMPACT CARS,AUDI,S5 Cabriolet,A-S8,3.0L,6cyl,22,20,27,"$2,800",5,"['P', 'T', 'SS']"
110,SUBCOMPACT CARS,AUDI,S5 Coupe,A-S8,3.0L,6cyl,24,21,29,"$2,550",5,"['P', 'T', 'SS']"
111,SUBCOMPACT CARS,BENTLEY,Continental GT,AM-S8,4.0L,8cyl,17,14,22,"$3,600",3,"['PR', 'T', 'Tax', 'CD', 'SS']"
112,SUBCOMPACT CARS,BENTLEY,Continental GT,AM-S8,6.0L,12cyl,15,12,20,"$4,100",2,"['P', 'T', 'Tax', 'CD', 'SS']"
113,SUBCOMPACT CARS,BMW,230i Coupe,A-S8,2.0L,4cyl,30,26,35,"$2,050",6,"['P', 'T', 'SS']"
114,SUBCOMPACT CARS,BMW,230i xDrive Coupe,A-S8,2.0L,4cyl,28,25,33,"$2,200",6,"['P', 'T', 'SS']"
115,SUBCOMPACT CARS,BMW,430i Convertible,A-S8,2.0L,4cyl,28,25,34,"$2,200",6,"['P', 'T', 'SS']"
116,SUBCOMPACT CARS,BMW,430i Coupe,A-S8,2.0L,4cyl,28,25,34,"$2,200",6,"['P', 'T', 'SS']"
117,SUBCOMPACT CARS,BMW,430i xDrive Convertible,A-S8,2.0L,4cyl,27,23,33,"$2,250",5,"['P', 'T', 'SS']"
118,SUBCOMPACT CARS,BMW,430i xDrive Coupe,A-S8,2.0L,4cyl,27,23,33,"$2,250",5,"['P', 'T', 'SS']"
119,SUBCOMPACT CARS,BMW,840i Convertible,A-S8,3.0L,6cyl,24,21,29,"$2,550",5,"['P', 'T', 'SS']"
120,SUBCOMPACT CARS,BMW,840i Coupe,A-S8,3.0L,6cyl,24,21,29,"$2,550",5,"['P', 'T', 'SS']"
121,SUBCOMPACT CARS,BMW,840i xDrive Convertible,A-S8,3.0L,6cyl,24,21,29,"$2,550",5,"['P', 'T', 'SS']"
122,SUBCOMPACT CARS,BMW,840i xDrive Coupe,A-S8,3.0L,6cyl,24,21,29,"$2,550",5,"['P', 'T', 'SS']"
123,SUBCOMPACT CARS,BMW,M2 Coupe,A-S8,3.0L,6cyl,19,16,23,"$3,200",4,"['PR', 'T', 'SS']"
124,SUBCOMPACT CARS,BMW,M2 Coupe,M-6,3.0L,6cyl,19,16,24,"$3,200",4,"['PR', 'T']"
125,SUBCOMPACT CARS,BMW,M240i Coupe,A-S8,3.0L,6cyl,26,22,32,"$2,350",5,"['P', 'T', 'SS']"
126,SUBCOMPACT CARS,BMW,M240i xDrive Coupe,A-S8,3.0L,6cyl,26,23,32,"$2,350",5,"['P', 'T', 'SS']"
127,SUBCOMPACT CARS,BMW,M4 Competition Coupe,A-S8,3.0L,6cyl,19,16,23,"$3,200",4,"['PR', 'T', 'SS']"
128,SUBCOMPACT CARS,BMW,M4 Competition M xDrive Convertible,A-S8,3.0L,6cyl,18,16,23,"$3,400",4,"['PR', 'T', 'SS']"
129,SUBCOMPACT CARS,BMW,M4 Competition M xDrive Coupe,A-S8,3.0L,6cyl,18,16,22,"$3,400",4,"['PR', 'T', 'SS']"
130,SUBCOMPACT CARS,BMW,M4 Coupe,M-6,3.0L,6cyl,19,16,23,"$3,200",4,"['PR', 'T']"
131,SUBCOMPACT CARS,BMW,M440i Convertible,A-S8,3.0L,6cyl,26,23,31,"$2,350",5,"['P', 'T', 'MHEV', 'SS']"
132,SUBCOMPACT CARS,BMW,M440i Coupe,A-S8,3.0L,6cyl,27,24,32,"$2,250",5,"['P', 'T', 'MHEV', 'SS']"
133,SUBCOMPACT CARS,BMW,M440i xDrive Convertible,A-S8,3.0L,6cyl,25,22,30,"$2,450",5,"['P', 'T', 'MHEV', 'SS']"
134,SUBCOMPACT CARS,BMW,M440i xDrive Coupe,A-S8,3.0L,6cyl,25,22,31,"$2,450",5,"['P', 'T', 'MHEV', 'SS']"
135,SUBCOMPACT CARS,BMW,M8 Competition Convertible,A-S8,4.4L,8cyl,17,15,22,"$3,600",3,"['PR', 'T', 'Tax', 'SS']"
136,SUBCOMPACT CARS,BMW,M8 Competition Coupe,A-S8,4.4L,8cyl,17,15,22,"$3,600",3,"['PR', 'T', 'Tax', 'SS']"
137,SUBCOMPACT CARS,BMW,M850i xDrive Convertible,A-S8,4.4L,8cyl,19,17,24,"$3,200",4,"['P', 'T', 'SS']"
138,SUBCOMPACT CARS,BMW,M850i xDrive Coupe,A-S8,4.4L,8cyl,19,17,24,"$3,200",4,"['P', 'T', 'SS']"
139,SUBCOMPACT CARS,CHEVROLET,Camaro,A-S10,3.6L,6cyl,22,18,29,"$2,150",5,['CD']
140,SUBCOMPACT CARS,CHEVROLET,Camaro,M-6,3.6L,6cyl,20,16,26,"$2,400",4,[]
141,SUBCOMPACT CARS,CHEVROLET,Camaro,A-S10,6.2L,8cyl,20,16,26,"$3,050",4,"['PR', 'CD']"
142,SUBCOMPACT CARS,CHEVROLET,Camaro,A-S10,6.2L,8cyl,16,13,21,"$3,800",3,"['PR', 'S', 'Tax']"
143,SUBCOMPACT CARS,CHEVROLET,Camaro,M-6,6.2L,8cyl,19,16,24,"$3,200",4,['PR']
144,SUBCOMPACT CARS,CHEVROLET,Camaro,M-6,6.2L,8cyl,16,14,20,"$3,800",3,"['PR', 'S', 'Tax']"
145,SUBCOMPACT CARS,FERRARI,Roma,AM-8,3.9L,8cyl,19,17,22,"$3,200",4,"['PR', 'T', 'SS']"
146,SUBCOMPACT CARS,FORD,Mustang,A-10,2.3L,4cyl,26,22,33,"$1,850",5,"['T', 'SS']"
147,SUBCOMPACT CARS,FORD,Mustang,A-S10,5.0L,8cyl,19,16,24,"$2,500",4,['SS']
148,SUBCOMPACT CARS,FORD,Mustang,A-S10,5.0L,8cyl,18,15,24,"$2,650",4,[]
149,SUBCOMPACT CARS,FORD,Mustang,M-6,5.0L,8cyl,18,15,23,"$2,650",4,['SS']
150,SUBCOMPACT CARS,FORD,Mustang,M-6,5.0L,8cyl,17,14,23,"$2,800",3,['Tax']
151,SUBCOMPACT CARS,FORD,Mustang Dark Horse,A-S10,5.0L,8cyl,17,14,22,"$2,800",3,['Tax']
152,SUBCOMPACT CARS,FORD,Mustang Dark Horse,M-6,5.0L,8cyl,17,14,22,"$2,800",3,['Tax']
153,SUBCOMPACT CARS,FORD,Mustang Performance Package,A-S10,2.3L,4cyl,24,21,29,"$2,000",5,"['T', 'SS']"
154,SUBCOMPACT CARS,LEXUS,LC 500,A-S10,5.0L,8cyl,18,16,24,"$3,400",4,['PR']
155,SUBCOMPACT CARS,LEXUS,LC 500h,AV-S10,3.5L,6cyl,29,26,33,"$2,100",6,"['PR', 'HEV', 'SS']"
156,SUBCOMPACT CARS,LEXUS,RC 300,A-S8,2.0L,4cyl,25,21,31,"$2,450",5,"['PR', 'T']"
157,SUBCOMPACT CARS,LEXUS,RC 300 AWD,A-S6,3.5L,6cyl,22,19,26,"$2,800",5,['PR']
158,SUBCOMPACT CARS,LEXUS,RC 350,A-S8,3.5L,6cyl,23,20,28,"$2,650",5,['PR']
159,SUBCOMPACT CARS,LEXUS,RC 350 AWD,A-S6,3.5L,6cyl,22,19,26,"$2,800",5,['PR']
160,SUBCOMPACT CARS,LEXUS,RC F,A-S8,5.0L,8cyl,19,16,24,"$3,200",4,['PR']
161,SUBCOMPACT CARS,MASERATI,Grancabrio Trofeo,A-8,3.0L,6cyl,20,17,26,"$3,050",4,"['PR', 'T', 'CD', 'SS']"
162,SUBCOMPACT CARS,MASERATI,GranTurismo Modena,A-8,3.0L,6cyl,21,18,27,"$2,900",4,"['PR', 'T', 'CD', 'SS']"
163,SUBCOMPACT CARS,MASERATI,GranTurismo Trofeo,A-8,3.0L,6cyl,21,18,27,"$2,900",4,"['PR', 'T', 'CD', 'SS']"
164,SUBCOMPACT CARS,MERCEDES-BENZ,AMG CLE53 4matic Plus (coupe),A-9,3.0L,6cyl,23,20,27,"$2,650",5,"['PR', 'MHEV', 'SS']"
165,SUBCOMPACT CARS,MERCEDES-BENZ,AMG GT 55 4matic Plus (coupe),A-9,4.0L,8cyl,16,13,20,"$3,800",3,"['PR', 'T', 'Tax', 'SS']"
166,SUBCOMPACT CARS,MERCEDES-BENZ,AMG GT 63 4matic Plus (coupe),A-9,4.0L,8cyl,16,13,20,"$3,800",3,"['PR', 'T', 'Tax', 'SS']"
167,SUBCOMPACT CARS,MERCEDES-BENZ,CLE300 4matic (Convertible),A-9,2.0L,4cyl,26,23,32,"$2,350",5,"['PR', 'T', 'MHEV', 'SS']"
168,SUBCOMPACT CARS,MERCEDES-BENZ,CLE300 4matic (Coupe),A-9,2.0L,4cyl,28,24,34,"$2,200",6,"['PR', 'T', 'MHEV', 'SS']"
169,SUBCOMPACT CARS,MERCEDES-BENZ,CLE450 4matic (Convertible),A-9,3.0L,6cyl,26,23,32,"$2,350",5,"['PR', 'MHEV', 'SS']"
170,SUBCOMPACT CARS,MERCEDES-BENZ,CLE450 4matic (Coupe),A-9,3.0L,6cyl,26,23,33,"$2,350",5,"['PR', 'MHEV', 'SS']"
171,SUBCOMPACT CARS,MINI,Cooper Hardtop 2 door,AM-S7,1.5L,3cyl,32,29,38,"$1,900",6,"['P', 'T', 'SS']"
172,SUBCOMPACT CARS,MINI,Cooper Hardtop 2 door,M-6,1.5L,3cyl,31,27,38,"$1,950",6,"['P', 'T', 'SS']"
173,SUBCOMPACT CARS,MINI,Cooper Hardtop 4 door,AM-S7,1.5L,3cyl,32,29,38,"$1,900",6,"['P', 'T', 'SS']"
174,SUBCOMPACT CARS,MINI,Cooper Hardtop 4 door,M-6,1.5L,3cyl,31,27,38,"$1,950",6,"['P', 'T', 'SS']"
175,SUBCOMPACT CARS,MINI,Cooper S Hardtop 2 door,AM-S7,2.0L,4cyl,31,28,38,"$1,950",6,"['P', 'T', 'SS']"
176,SUBCOMPACT CARS,MINI,Cooper S Hardtop 2 door,M-6,2.0L,4cyl,27,23,33,"$2,250",5,"['P', 'T', 'SS']"
177,SUBCOMPACT CARS,MINI,Cooper S Hardtop 4 door,AM-S7,2.0L,4cyl,31,28,38,"$1,950",6,"['P', 'T', 'SS']"
178,SUBCOMPACT CARS,MINI,Cooper S Hardtop 4 door,M-6,2.0L,4cyl,27,23,33,"$2,250",5,"['P', 'T', 'SS']"
179,SUBCOMPACT CARS,MINI,John Cooper Works Hardtop 2 door,A-S8,2.0L,4cyl,29,26,35,"$2,100",6,"['P', 'T', 'SS']"
180,SUBCOMPACT CARS,MINI,John Cooper Works Hardtop 2 door,M-6,2.0L,4cyl,26,22,32,"$2,350",5,"['P', 'T', 'SS']"
181,SUBCOMPACT CARS,NISSAN,GT-R,AM-S6,3.8L,6cyl,18,16,22,"$3,400",4,"['PR', 'T']"
182,SUBCOMPACT CARS,TOYOTA,GR Corolla,M-6,1.6L,3cyl,24,21,28,"$2,550",5,"['PR', 'T']"
183,COMPACT CARS,ACURA,TLX AWD A-SPEC,A-S10,2.0L,4cyl,24,21,29,"$2,550",5,"['P', 'T', 'SS']"
184,COMPACT CARS,ACURA,TLX FWD,A-S10,2.0L,4cyl,25,22,31,"$2,450",5,"['P', 'T', 'SS']"
185,COMPACT CARS,ACURA,TLX Type-S,A-S10,3.0L,6cyl,21,19,25,"$2,900",4,"['P', 'T', 'CD', 'SS']"
